Accession	Alias	Expressed
GCA_000163555.2@EMH79960.1	HIMB114	yes
ECO62707.1	ECO07	yes
EBU83961.1	EBU61	yes
EBO12744.1	EBO44	yes
OM-RGC.v2.015137236.2	OM-RGC36	
MGYP000089987492	MGYP92	
OM-RGC.v2.012951039	OM-RGC39	
OM-RGC.v2.012943790	OM-RGC90	
SAMEA2623116_2402565_6	SAM65	yes
SAMEA2619766_6745_13	SAM45	yes
GCA_002691705.1@NZIR01000010.1_42	MED602	yes
OceanDNA-b25529@OceanDNA-b25529_00008_3	OD-b25529	yes
SAMEA2619766_9993_9	SAM93	yes
SAMEA2623116_2556763	SAM63	
